source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0016477,cell migration,6.024600469223703e-19,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1534,731,131,21026,0.17920656634746923,0.08539765319426336,query_1,['GO:0048870']
GO:BP,GO:0030334,regulation of cell migration,1.419985442260994e-16,True,"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]",960,731,94,21026,0.12859097127222982,0.09791666666666667,query_1,"['GO:0016477', 'GO:2000145']"
GO:BP,GO:0040012,regulation of locomotion,1.8585293293807994e-16,True,"""Any process that modulates the frequency, rate or extent of locomotion of a cell or organism."" [GOC:ems]",1067,731,100,21026,0.13679890560875513,0.09372071227741331,query_1,"['GO:0040011', 'GO:0050789']"
GO:BP,GO:0065007,biological regulation,2.0240697313459656e-16,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12743,731,557,21026,0.761969904240766,0.043710272306364276,query_1,['GO:0008150']
GO:BP,GO:2000145,regulation of cell motility,2.985462270577997e-16,True,"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]",1022,731,97,21026,0.1326949384404925,0.0949119373776908,query_1,"['GO:0040012', 'GO:0048870', 'GO:0050794']"
GO:BP,GO:0007399,nervous system development,5.996959683376317e-16,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2604,731,177,21026,0.2421340629274966,0.06797235023041474,query_1,['GO:0048731']
GO:BP,GO:0044057,regulation of system process,9.057831407077636e-16,True,"""Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system."" [GOC:jl]",553,731,67,21026,0.09165526675786594,0.12115732368896925,query_1,"['GO:0003008', 'GO:0051239']"
GO:BP,GO:0007154,cell communication,1.247995333042678e-15,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6540,731,340,21026,0.46511627906976744,0.05198776758409786,query_1,['GO:0009987']
GO:BP,GO:0001944,vasculature development,1.7861283308217367e-15,True,"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]",762,731,80,21026,0.1094391244870041,0.10498687664041995,query_1,"['GO:0048731', 'GO:0072359']"
GO:BP,GO:0007155,cell adhesion,2.099822249255576e-15,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1530,731,123,21026,0.16826265389876882,0.0803921568627451,query_1,['GO:0009987']
GO:BP,GO:0050896,response to stimulus,2.75798354038683e-15,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8999,731,429,21026,0.5868673050615595,0.04767196355150572,query_1,['GO:0008150']
GO:BP,GO:0007267,cell-cell signaling,6.340094951751263e-15,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1342,731,112,21026,0.15321477428180574,0.08345752608047691,query_1,"['GO:0007154', 'GO:0023052']"
GO:BP,GO:0001568,blood vessel development,7.637605475361575e-15,True,"""The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."" [GOC:hjd, UBERON:0001981]",732,731,77,21026,0.10533515731874145,0.1051912568306011,query_1,"['GO:0001944', 'GO:0048856']"
GO:BP,GO:0048870,cell motility,8.394432121987958e-15,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1793,731,135,21026,0.18467852257181944,0.07529280535415504,query_1,['GO:0009987']
GO:BP,GO:0050793,regulation of developmental process,8.85983859243259e-15,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2457,731,167,21026,0.22845417236662108,0.06796906796906797,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0023052,signaling,9.866109957538047e-15,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6515,731,336,21026,0.45964432284541723,0.05157329240214889,query_1,['GO:0050789']
GO:BP,GO:0060429,epithelium development,2.7654483356679468e-14,True,"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]",1238,731,105,21026,0.1436388508891929,0.08481421647819062,query_1,['GO:0009888']
GO:BP,GO:0035295,tube development,4.7117442518555733e-14,True,"""The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts."" [PMID:12526790]",1101,731,97,21026,0.1326949384404925,0.08810172570390554,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0048646,anatomical structure formation involved in morphogenesis,7.037039699371199e-14,True,"""The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GOC:dph, GOC:jid, GOC:tb]",1199,731,102,21026,0.13953488372093023,0.08507089241034195,query_1,"['GO:0009653', 'GO:0032502']"
GO:BP,GO:0050789,regulation of biological process,7.593330486666258e-14,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12336,731,536,21026,0.7332421340629275,0.04345006485084306,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0003013,circulatory system process,7.804938467968665e-14,True,"""An organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism."" [GOC:mtg_cardio]",602,731,67,21026,0.09165526675786594,0.11129568106312292,query_1,['GO:0003008']
GO:BP,GO:2000026,regulation of multicellular organismal development,1.3419254158314708e-13,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1418,731,113,21026,0.1545827633378933,0.07968970380818054,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
GO:BP,GO:0051716,cellular response to stimulus,3.2176716717622934e-13,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7376,731,363,21026,0.49658002735978113,0.04921366594360087,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,3.764172827975331e-13,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2819,731,179,21026,0.2448700410396717,0.06349769421780774,query_1,['GO:0007165']
GO:BP,GO:0008015,blood circulation,6.033034601435994e-13,True,"""The flow of blood through the body of an animal, enabling the transport of nutrients to the tissues and the removal of waste products."" [GOC:mtg_heart, ISBN:0192800825]",518,731,60,21026,0.08207934336525308,0.11583011583011583,query_1,['GO:0003013']
GO:BP,GO:0071495,cellular response to endogenous stimulus,7.553123359454746e-13,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]",1223,731,101,21026,0.1381668946648427,0.08258381030253475,query_1,['GO:0009719']
GO:BP,GO:0003008,system process,7.807912417572506e-13,True,"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]",2293,731,154,21026,0.2106703146374829,0.06716092455298735,query_1,['GO:0032501']
GO:BP,GO:0007167,enzyme-linked receptor protein signaling pathway,8.880996966592391e-13,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]",970,731,87,21026,0.11901504787961696,0.08969072164948454,query_1,['GO:0007166']
GO:BP,GO:0030855,epithelial cell differentiation,9.003264013939982e-13,True,"""The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium."" [GOC:ecd, PMID:11839751]",746,731,74,21026,0.1012311901504788,0.09919571045576407,query_1,"['GO:0030154', 'GO:0060429']"
GO:BP,GO:0040017,positive regulation of locomotion,1.162245616080015e-12,True,"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]",603,731,65,21026,0.08891928864569083,0.1077943615257048,query_1,"['GO:0040011', 'GO:0040012', 'GO:0048518']"
GO:BP,GO:0007610,behavior,1.9616460645900002e-12,True,"""The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."" [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]",674,731,69,21026,0.09439124487004104,0.10237388724035608,query_1,['GO:0032501']
GO:BP,GO:0007165,signal transduction,4.09375257999206e-12,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6002,731,307,21026,0.41997264021887826,0.051149616794401866,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:2000147,positive regulation of cell motility,4.148762717252322e-12,True,"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]",587,731,63,21026,0.08618331053351573,0.10732538330494037,query_1,"['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']"
GO:BP,GO:0048468,cell development,5.699680697036461e-12,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2876,731,178,21026,0.24350205198358413,0.061891515994436715,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:0003012,muscle system process,5.807424447364385e-12,True,"""An organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers."" [GOC:mtg_cardio]",438,731,53,21026,0.07250341997264022,0.12100456621004566,query_1,['GO:0003008']
GO:BP,GO:0008544,epidermis development,8.208786812024657e-12,True,"""The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species."" [GOC:go_curators, UBERON:0001003]",398,731,50,21026,0.06839945280437756,0.12562814070351758,query_1,['GO:0009888']
GO:BP,GO:0009725,response to hormone,1.30759018861019e-11,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:jl]",907,731,81,21026,0.11080711354309165,0.08930540242557883,query_1,"['GO:0009719', 'GO:0042221']"
GO:BP,GO:0048514,blood vessel morphogenesis,1.4290404198894046e-11,True,"""The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood."" [GOC:jid]",635,731,65,21026,0.08891928864569083,0.10236220472440945,query_1,"['GO:0001568', 'GO:0035239']"
GO:BP,GO:0048518,positive regulation of biological process,1.4632927748566274e-11,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6264,731,315,21026,0.43091655266757867,0.05028735632183908,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0008283,cell population proliferation,2.0007578010012312e-11,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",2015,731,137,21026,0.18741450068399454,0.06799007444168735,query_1,['GO:0009987']
GO:BP,GO:0030335,positive regulation of cell migration,2.0122091091027332e-11,True,"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]",559,731,60,21026,0.08207934336525308,0.1073345259391771,query_1,"['GO:0016477', 'GO:0030334', 'GO:2000147']"
GO:BP,GO:0035239,tube morphogenesis,2.0731807553450055e-11,True,"""The process in which the anatomical structures of a tube are generated and organized. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system."" [GOC:bf, PMID:14624839]",879,731,79,21026,0.10807113543091655,0.08987485779294653,query_1,"['GO:0009653', 'GO:0035295']"
GO:BP,GO:0009887,animal organ morphogenesis,2.1254991138260102e-11,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",1042,731,88,21026,0.12038303693570451,0.08445297504798464,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0007169,cell surface receptor protein tyrosine kinase signaling pathway,1.0454152118554307e-10,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]",629,731,63,21026,0.08618331053351573,0.10015898251192369,query_1,['GO:0007167']
GO:BP,GO:0022008,neurogenesis,1.4202786963724506e-10,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",1771,731,123,21026,0.16826265389876882,0.06945228684359118,query_1,"['GO:0007399', 'GO:0030154']"
GO:BP,GO:0043588,skin development,1.497300959520923e-10,True,"""The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue."" [GOC:jl, UBERON:0002097]",327,731,43,21026,0.058823529411764705,0.13149847094801223,query_1,['GO:0048513']
GO:BP,GO:0070887,cellular response to chemical stimulus,2.719622462544398e-10,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",2192,731,142,21026,0.19425444596443228,0.06478102189781022,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0061061,muscle structure development,2.725730815637887e-10,True,"""The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."" [GOC:dph]",693,731,66,21026,0.09028727770177838,0.09523809523809523,query_1,['GO:0048856']
GO:BP,GO:0051094,positive regulation of developmental process,3.0981105075729596e-10,True,"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]",1343,731,101,21026,0.1381668946648427,0.07520476545048399,query_1,"['GO:0032502', 'GO:0048518', 'GO:0050793']"
GO:BP,GO:0033993,response to lipid,4.21883207602826e-10,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:sl]",930,731,79,21026,0.10807113543091655,0.08494623655913978,query_1,['GO:0042221']
GO:BP,GO:0072001,renal system development,1.1085898040311997e-09,True,"""The process whose specific outcome is the progression of the renal system over time, from its formation to the mature structure. The renal system maintains fluid balance and contributes to electrolyte balance, acid/base balance, and disposal of nitrogenous waste products. In humans, the renal system comprises a pair of kidneys, a pair of ureters, urinary bladder, urethra, sphincter muscle and associated blood vessels."" [GOC:mtg_kidney_jan10, GOC:yaf, PMID:6996269]",332,731,42,21026,0.057455540355677154,0.12650602409638553,query_1,['GO:0048731']
GO:BP,GO:0001525,angiogenesis,1.1807678845240684e-09,True,"""Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels."" [ISBN:0878932453]",547,731,56,21026,0.07660738714090287,0.10237659963436929,query_1,"['GO:0048514', 'GO:0048646']"
GO:BP,GO:0045595,regulation of cell differentiation,1.2250048105631513e-09,True,"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",1576,731,111,21026,0.1518467852257182,0.07043147208121828,query_1,"['GO:0030154', 'GO:0050793', 'GO:0050794']"
GO:BP,GO:0044706,multi-multicellular organism process,1.5149150798490846e-09,True,"""A multicellular organism process which involves another multicellular organism of the same or different species."" [GOC:jl]",214,731,33,21026,0.04514363885088919,0.1542056074766355,query_1,['GO:0032501']
GO:BP,GO:0042221,response to chemical,1.5262152703316843e-09,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3909,731,214,21026,0.292749658002736,0.05474545919672551,query_1,['GO:0050896']
GO:BP,GO:0042127,regulation of cell population proliferation,1.5357873373876131e-09,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1685,731,116,21026,0.15868673050615595,0.06884272997032641,query_1,"['GO:0008283', 'GO:0050794']"
GO:BP,GO:0051240,positive regulation of multicellular organismal process,1.7163038961819268e-09,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1667,731,115,21026,0.1573187414500684,0.06898620275944811,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:1903522,regulation of blood circulation,2.291372164658841e-09,True,"""Any process that modulates the frequency, rate or extent of blood circulation."" [GO_REF:0000058, GOC:mr, GOC:TermGenie, PMID:10659969]",256,731,36,21026,0.049247606019151846,0.140625,query_1,"['GO:0008015', 'GO:0044057']"
GO:BP,GO:0044703,multi-organism reproductive process,2.419078748091824e-09,True,"""A biological process that directly contributes to the process of producing new individuals, involving another organism."" [GOC:jl]",205,731,32,21026,0.04377564979480164,0.15609756097560976,query_1,['GO:0022414']
GO:BP,GO:0007565,female pregnancy,3.4048860726439954e-09,True,"""The set of physiological processes that allow an embryo or foetus to develop within the body of a female animal. It covers the time from fertilization of a female ovum by a male spermatozoon until birth."" [ISBN:0192800825]",183,731,30,21026,0.04103967168262654,0.16393442622950818,query_1,"['GO:0044703', 'GO:0044706']"
GO:BP,GO:0010646,regulation of cell communication,3.664247719401533e-09,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3486,731,195,21026,0.2667578659370725,0.05593803786574871,query_1,"['GO:0007154', 'GO:0050794']"
GO:BP,GO:0022603,regulation of anatomical structure morphogenesis,5.975810245960699e-09,True,"""Any process that modulates the frequency, rate or extent of anatomical structure morphogenesis."" [GOC:mah]",831,731,71,21026,0.09712722298221614,0.08543922984356198,query_1,"['GO:0009653', 'GO:0050793']"
GO:BP,GO:0050794,regulation of cellular process,6.741332566036114e-09,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11946,731,505,21026,0.6908344733242134,0.042273564373011885,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0034330,cell junction organization,7.081678257784085e-09,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cell junction. A cell junction is a specialized region of connection between two cells or between a cell and the extracellular matrix."" [GOC:dph, GOC:jl, GOC:mah]",834,731,71,21026,0.09712722298221614,0.08513189448441247,query_1,['GO:0016043']
GO:BP,GO:0001822,kidney development,7.243876421563976e-09,True,"""The process whose specific outcome is the progression of the kidney over time, from its formation to the mature structure. The kidney is an organ that filters the blood and/or excretes the end products of body metabolism in the form of urine."" [GOC:dph, GOC:mtg_kidney_jan10, ISBN:0124020607, ISBN:0721662544]",322,731,40,21026,0.05471956224350205,0.12422360248447205,query_1,"['GO:0048513', 'GO:0072001']"
GO:BP,GO:0099537,trans-synaptic signaling,7.613842022960205e-09,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",781,731,68,21026,0.09302325581395349,0.08706786171574904,query_1,['GO:0099536']
GO:BP,GO:0030216,keratinocyte differentiation,9.447095678886651e-09,True,"""The process in which a relatively unspecialized cell acquires specialized features of a keratinocyte."" [GOC:dph, GOC:mah, GOC:sdb_2009, GOC:tb]",178,731,29,21026,0.03967168262653899,0.16292134831460675,query_1,"['GO:0009913', 'GO:0043588']"
GO:BP,GO:0023051,regulation of signaling,1.053973901741769e-08,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3478,731,193,21026,0.2640218878248974,0.0554916618746406,query_1,"['GO:0023052', 'GO:0050789']"
